space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,10.375,26.577777777777662,66.2336507936508,9,0,1.0,31.0,19.75,-10.25,1.57777777777766,51.57777777777766
0,1,40.375,26.577777777777662,75.35750000000002,8,0,31.0,61.0,49.75,19.75,1.57777777777766,51.57777777777766
0,2,70.375,26.577777777777662,69.12565656565657,11,0,61.0,91.0,79.75,49.75,1.57777777777766,51.57777777777766
0,3,100.375,26.577777777777662,63.99383333333333,20,0,91.0,121.0,109.75,79.75,1.57777777777766,51.57777777777766
0,4,130.375,26.577777777777662,67.49277777777777,24,0,121.0,151.0,139.75,109.75,1.57777777777766,51.57777777777766
0,5,160.375,26.577777777777662,66.35279761904762,24,0,151.0,181.0,169.75,139.75,1.57777777777766,51.57777777777766
0,6,190.375,26.577777777777662,71.39765625000001,16,0,181.0,211.0,199.75,169.75,1.57777777777766,51.57777777777766
0,7,220.375,26.577777777777662,68.41544444444443,15,0,211.0,241.0,229.75,199.75,1.57777777777766,51.57777777777766
0,8,250.375,26.577777777777662,71.52082539682539,15,0,241.0,271.0,259.75,229.75,1.57777777777766,51.57777777777766
0,9,280.375,26.577777777777662,78.42666666666666,6,0,271.0,301.0,289.75,259.75,1.57777777777766,51.57777777777766
0,10,310.375,26.577777777777662,69.1584312169312,15,0,301.0,331.0,319.75,289.75,1.57777777777766,51.57777777777766
0,11,340.375,26.577777777777662,68.80322222222223,25,0,331.0,361.0,349.75,319.75,1.57777777777766,51.57777777777766
0,12,370.375,26.577777777777662,64.64009803921569,17,0,361.0,391.0,379.75,349.75,1.57777777777766,51.57777777777766
0,13,400.375,26.577777777777662,61.43258095238096,25,0,391.0,421.0,409.75,379.75,1.57777777777766,51.57777777777766
0,14,430.375,26.577777777777662,61.5881272893773,26,0,421.0,451.0,439.75,409.75,1.57777777777766,51.57777777777766
0,15,460.375,26.577777777777662,63.14105742296921,34,0,451.0,481.0,469.75,439.75,1.57777777777766,51.57777777777766
0,16,490.375,26.577777777777662,66.71988636363638,22,0,481.0,511.0,499.75,469.75,1.57777777777766,51.57777777777766
0,17,520.375,26.577777777777662,75.26669444444444,20,0,511.0,541.0,529.75,499.75,1.57777777777766,51.57777777777766
0,18,550.375,26.577777777777662,65.56085659551178,29,0,541.0,571.0,559.75,529.75,1.57777777777766,51.57777777777766
0,19,580.375,26.577777777777662,70.92783068783068,15,0,571.0,601.0,589.75,559.75,1.57777777777766,51.57777777777766
0,20,610.375,26.577777777777662,65.14208333333333,12,0,601.0,631.0,619.75,589.75,1.57777777777766,51.57777777777766
0,21,640.375,26.577777777777662,69.24902777777778,16,0,631.0,661.0,649.75,619.75,1.57777777777766,51.57777777777766
0,22,670.375,26.577777777777662,66.17474937343358,19,0,661.0,691.0,679.75,649.75,1.57777777777766,51.57777777777766
0,23,700.375,26.577777777777662,66.52164609053499,27,0,691.0,721.0,709.75,679.75,1.57777777777766,51.57777777777766
0,24,730.375,26.577777777777662,65.86035126396239,27,0,721.0,751.0,739.75,709.75,1.57777777777766,51.57777777777766
0,25,760.375,26.577777777777662,59.53879629629629,24,0,751.0,781.0,769.75,739.75,1.57777777777766,51.57777777777766
0,26,790.375,26.577777777777662,64.51613553113552,26,0,781.0,811.0,799.75,769.75,1.57777777777766,51.57777777777766
0,27,820.375,26.577777777777662,67.90592857142857,20,0,811.0,841.0,829.75,799.75,1.57777777777766,51.57777777777766
0,28,850.375,26.577777777777662,73.36111111111111,6,0,841.0,871.0,859.75,829.75,1.57777777777766,51.57777777777766
0,29,880.375,26.577777777777662,55.32159318048207,27,0,871.0,901.0,889.75,859.75,1.57777777777766,51.57777777777766
0,30,910.375,26.577777777777662,59.24387096774194,31,0,901.0,931.0,919.75,889.75,1.57777777777766,51.57777777777766
0,31,940.375,26.577777777777662,50.90307692307693,52,0,931.0,961.0,949.75,919.75,1.57777777777766,51.57777777777766
