space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,0,16.0,28.449999999999818,69.81493055555555,24,0,1.0,31.0,31.0,1.0,3.44999999999982,53.44999999999982
0,1,46.0,28.449999999999818,67.75880952380952,14,0,31.0,61.0,61.0,31.0,3.44999999999982,53.44999999999982
0,2,76.0,28.449999999999818,64.8177564102564,26,0,61.0,91.0,91.0,61.0,3.44999999999982,53.44999999999982
0,3,106.0,28.449999999999818,60.277727370227375,37,0,91.0,121.0,121.0,91.0,3.44999999999982,53.44999999999982
0,4,136.0,28.449999999999818,63.5861968766001,31,0,121.0,151.0,151.0,121.0,3.44999999999982,53.44999999999982
0,5,166.0,28.449999999999818,72.80146464646465,11,0,151.0,181.0,181.0,151.0,3.44999999999982,53.44999999999982
0,6,196.0,28.449999999999818,62.13243827160495,27,0,181.0,211.0,211.0,181.0,3.44999999999982,53.44999999999982
0,7,226.0,28.449999999999818,65.43568555008208,29,0,211.0,241.0,241.0,211.0,3.44999999999982,53.44999999999982
0,8,256.0,28.449999999999818,68.26451690821256,23,0,241.0,271.0,271.0,241.0,3.44999999999982,53.44999999999982
0,9,286.0,28.449999999999818,67.51881084656084,30,0,271.0,301.0,301.0,271.0,3.44999999999982,53.44999999999982
0,10,316.0,28.449999999999818,56.10204212454213,39,0,301.0,331.0,331.0,301.0,3.44999999999982,53.44999999999982
0,11,346.0,28.449999999999818,77.8070767195767,12,0,331.0,361.0,361.0,331.0,3.44999999999982,53.44999999999982
0,12,376.0,28.449999999999818,66.48586734693879,21,0,361.0,391.0,391.0,361.0,3.44999999999982,53.44999999999982
0,13,406.0,28.449999999999818,67.61620490620493,22,0,391.0,421.0,421.0,391.0,3.44999999999982,53.44999999999982
0,14,436.0,28.449999999999818,60.541743326118315,44,0,421.0,451.0,451.0,421.0,3.44999999999982,53.44999999999982
0,15,466.0,28.449999999999818,65.13325714285715,25,0,451.0,481.0,481.0,451.0,3.44999999999982,53.44999999999982
0,16,496.0,28.449999999999818,69.33076023391813,19,0,481.0,511.0,511.0,481.0,3.44999999999982,53.44999999999982
0,17,526.0,28.449999999999818,72.53605158730159,16,0,511.0,541.0,541.0,511.0,3.44999999999982,53.44999999999982
